City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,stepnoye,51.4,46.8667,17.13,58,100,4.47,RU,1714269152
1,margaret river,-33.95,115.0667,16.78,70,99,4.61,AU,1714269152
2,mwinilunga,-11.7358,24.4293,13.63,72,15,2.94,ZM,1714269152
3,adamstown,-25.066,-130.1015,22.36,84,100,4.95,PN,1714269152
4,edinburgh of the seven seas,-37.0676,-12.3116,12.02,76,100,14.61,SH,1714269152
5,tiksi,71.6872,128.8694,-12.99,74,88,1.0,RU,1714269152
6,nova sintra,14.8667,-24.7167,23.77,82,100,7.3,CV,1714269152
7,buka,40.8108,69.1986,7.59,55,60,3.1,UZ,1714269152
8,sheregesh,52.9209,87.9869,5.53,88,42,1.5,RU,1714269152
9,saipan,15.1355,145.701,32.39,58,20,7.2,MP,1714269021
10,miyako,39.6367,141.9525,21.42,56,0,2.49,JP,1714269152
11,hasaki,35.7333,140.8333,26.27,64,0,2.61,JP,1714269152
12,aral,40.5156,81.2636,15.71,32,100,6.39,CN,1714269152
13,bargaal,11.2864,51.0773,26.19,83,55,1.63,SO,1714269153
14,jamestown,42.097,-79.2353,17.77,84,0,5.66,US,1714269153
15,hawaiian paradise park,19.5933,-154.9731,22.73,96,100,3.6,US,1714269153
16,longyearbyen,78.2186,15.6401,0.91,69,100,5.14,SJ,1714269153
17,sisimiut,66.9395,-53.6735,-1.69,90,86,2.55,GL,1714269153
18,codrington,-38.2667,141.9667,18.62,40,0,6.54,AU,1714269153
19,port-aux-francais,-49.35,70.2167,4.97,66,100,11.17,TF,1714269153
20,tateyama,34.9833,139.8667,20.34,78,1,0.77,JP,1714269153
21,avarua,-21.2078,-159.775,26.03,100,100,6.69,CK,1714269153
22,albany,42.6001,-73.9662,11.99,64,100,0.89,US,1714269153
23,camuy,18.4838,-66.8449,26.75,79,100,5.81,PR,1714269153
24,iqaluit,63.7506,-68.5145,-6.15,68,75,4.12,CA,1714269153
25,domna,51.8971,113.1573,6.09,36,27,4.0,RU,1714269153
26,puerto natales,-51.7236,-72.4875,3.35,78,98,8.98,CL,1714269096
27,dudinka,69.4058,86.1778,-6.85,96,100,2.24,RU,1714268925
28,great bend,38.3645,-98.7648,19.07,72,75,3.6,US,1714269153
29,waitangi,-43.9535,-176.5597,14.34,82,52,3.58,NZ,1714269153
30,whitehorse,60.7161,-135.0538,13.43,19,75,3.6,CA,1714268914
31,choyr,46.3611,108.3611,4.51,28,100,5.36,MN,1714269154
32,port mathurin,-19.6833,63.4167,26.54,74,19,3.38,MU,1714269154
33,invercargill,-46.4,168.35,13.34,88,9,5.36,NZ,1714268859
34,hithadhoo,-0.6,73.0833,29.45,77,100,6.38,MV,1714269154
35,east london,-33.0153,27.9116,17.85,75,100,8.5,ZA,1714269154
36,brady,31.1352,-99.3351,25.64,69,20,7.2,US,1714269154
37,guayaramerin,-10.8368,-65.3614,24.84,89,75,1.36,BO,1714269154
38,yellowknife,62.456,-114.3525,-0.71,61,75,3.6,CA,1714269154
39,olonkinbyen,70.9221,-8.7187,0.19,75,100,2.41,SJ,1714269154
40,aban,56.67,96.06,6.8,65,100,4.48,RU,1714269154
41,afaahiti,-17.75,-149.2833,29.93,83,75,9.84,PF,1714269154
42,port alfred,-33.5906,26.891,17.88,83,100,1.34,ZA,1714269154
